"STATISTIC","Statistic Label","TLIST(A1)","Year","C03341V04028","Stamp Duty Event","C03789V04537","Local Authority Area","C03723V04471","Sex Profile","UNIT","VALUE"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","130","Joint buyers - male & female","Number","1210"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","140","Joint buyers - 2 male","Number","20"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","150","Joint buyers - 2 female","Number","10"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","360"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","-","All buyers","Number","240"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","110","Sole male buyer","Number","40"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","120","Sole female buyer","Number","40"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","130","Joint buyers - male & female","Number","130"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","140","Joint buyers - 2 male","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","150","Joint buyers - 2 female","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","30"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","-","All buyers","Number","3630"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","110","Sole male buyer","Number","650"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","120","Sole female buyer","Number","780"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","130","Joint buyers - male & female","Number","1760"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","140","Joint buyers - 2 male","Number","50"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","150","Joint buyers - 2 female","Number","40"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","350"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","-","All buyers","Number","1940"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","110","Sole male buyer","Number","220"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","120","Sole female buyer","Number","340"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","130","Joint buyers - male & female","Number","1160"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","140","Joint buyers - 2 male","Number","20"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","150","Joint buyers - 2 female","Number","20"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","170"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","-","All buyers","Number","830"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","110","Sole male buyer","Number","110"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","120","Sole female buyer","Number","110"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","130","Joint buyers - male & female","Number","270"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","140","Joint buyers - 2 male","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","150","Joint buyers - 2 female","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","330"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","-","All buyers","Number","2100"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","110","Sole male buyer","Number","300"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","120","Sole female buyer","Number","350"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","130","Joint buyers - male & female","Number","1240"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","140","Joint buyers - 2 male","Number","10"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","150","Joint buyers - 2 female","Number","20"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","180"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","-","All buyers","Number","770"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","110","Sole male buyer","Number","100"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","120","Sole female buyer","Number","110"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","130","Joint buyers - male & female","Number","400"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","140","Joint buyers - 2 male","Number","10"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","150","Joint buyers - 2 female","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","150"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1435-13a3-e055-000000000001","Galway City Council","-","All buyers","Number","520"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1435-13a3-e055-000000000001","Galway City Council","110","Sole male buyer","Number","70"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1435-13a3-e055-000000000001","Galway City Council","120","Sole female buyer","Number","120"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1435-13a3-e055-000000000001","Galway City Council","130","Joint buyers - male & female","Number","260"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1435-13a3-e055-000000000001","Galway City Council","140","Joint buyers - 2 male","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1435-13a3-e055-000000000001","Galway City Council","150","Joint buyers - 2 female","Number","10"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1435-13a3-e055-000000000001","Galway City Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","60"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","-","All buyers","Number","1510"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","110","Sole male buyer","Number","200"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","120","Sole female buyer","Number","240"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","130","Joint buyers - male & female","Number","920"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","140","Joint buyers - 2 male","Number","20"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","150","Joint buyers - 2 female","Number","10"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","120"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","-","All buyers","Number","480"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","110","Sole male buyer","Number","90"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","120","Sole female buyer","Number","80"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","130","Joint buyers - male & female","Number","240"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","140","Joint buyers - 2 male","Number","10"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","150","Joint buyers - 2 female","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","70"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","-","All buyers","Number","830"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","110","Sole male buyer","Number","130"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","120","Sole female buyer","Number","120"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","130","Joint buyers - male & female","Number","390"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","140","Joint buyers - 2 male","Number","10"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","150","Joint buyers - 2 female","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","180"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1490-13a3-e055-000000000001","Longford County Council","-","All buyers","Number","200"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1490-13a3-e055-000000000001","Longford County Council","110","Sole male buyer","Number","40"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1490-13a3-e055-000000000001","Longford County Council","120","Sole female buyer","Number","20"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1490-13a3-e055-000000000001","Longford County Council","130","Joint buyers - male & female","Number","90"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1490-13a3-e055-000000000001","Longford County Council","140","Joint buyers - 2 male","Number","10"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1490-13a3-e055-000000000001","Longford County Council","150","Joint buyers - 2 female","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1490-13a3-e055-000000000001","Longford County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","50"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1491-13a3-e055-000000000001","Louth County Council","-","All buyers","Number","680"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1491-13a3-e055-000000000001","Louth County Council","110","Sole male buyer","Number","110"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1491-13a3-e055-000000000001","Louth County Council","120","Sole female buyer","Number","110"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1491-13a3-e055-000000000001","Louth County Council","130","Joint buyers - male & female","Number","360"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1491-13a3-e055-000000000001","Louth County Council","140","Joint buyers - 2 male","Number","10"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1491-13a3-e055-000000000001","Louth County Council","150","Joint buyers - 2 female","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1491-13a3-e055-000000000001","Louth County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","90"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","-","All buyers","Number","1030"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","110","Sole male buyer","Number","200"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","120","Sole female buyer","Number","200"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","130","Joint buyers - male & female","Number","500"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","140","Joint buyers - 2 male","Number","10"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","150","Joint buyers - 2 female","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","120"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","-","All buyers","Number","220"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","110","Sole male buyer","Number","30"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","120","Sole female buyer","Number","30"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","130","Joint buyers - male & female","Number","100"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","140","Joint buyers - 2 male","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","150","Joint buyers - 2 female","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","60"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148d-13a3-e055-000000000001","Laois County Council","-","All buyers","Number","420"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148d-13a3-e055-000000000001","Laois County Council","110","Sole male buyer","Number","80"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148d-13a3-e055-000000000001","Laois County Council","120","Sole female buyer","Number","80"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148d-13a3-e055-000000000001","Laois County Council","130","Joint buyers - male & female","Number","210"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148d-13a3-e055-000000000001","Laois County Council","140","Joint buyers - 2 male","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148d-13a3-e055-000000000001","Laois County Council","150","Joint buyers - 2 female","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-148d-13a3-e055-000000000001","Laois County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","50"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1494-13a3-e055-000000000001","Meath County Council","-","All buyers","Number","1310"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1494-13a3-e055-000000000001","Meath County Council","110","Sole male buyer","Number","150"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1494-13a3-e055-000000000001","Meath County Council","120","Sole female buyer","Number","220"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1494-13a3-e055-000000000001","Meath County Council","130","Joint buyers - male & female","Number","790"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1494-13a3-e055-000000000001","Meath County Council","140","Joint buyers - 2 male","Number","10"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1494-13a3-e055-000000000001","Meath County Council","150","Joint buyers - 2 female","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1494-13a3-e055-000000000001","Meath County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","140"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","-","All buyers","Number","240"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","110","Sole male buyer","Number","40"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","120","Sole female buyer","Number","50"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","130","Joint buyers - male & female","Number","100"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","140","Joint buyers - 2 male","Number","10"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","150","Joint buyers - 2 female","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","40"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","-","All buyers","Number","600"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","110","Sole male buyer","Number","110"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","120","Sole female buyer","Number","90"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","130","Joint buyers - male & female","Number","220"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","140","Joint buyers - 2 male","Number","10"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","150","Joint buyers - 2 female","Number","10"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","160"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","-","All buyers","Number","300"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","110","Sole male buyer","Number","50"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","120","Sole female buyer","Number","70"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","130","Joint buyers - male & female","Number","130"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","140","Joint buyers - 2 male","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","150","Joint buyers - 2 female","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","50"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","-","All buyers","Number","330"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","110","Sole male buyer","Number","60"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","120","Sole female buyer","Number","50"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","130","Joint buyers - male & female","Number","140"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","140","Joint buyers - 2 male","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","150","Joint buyers - 2 female","Number","0"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","999","Sole and joint buyers multiple males and/or females, along with unknowns","Number","80"
"CRP04C1","Volume of Purchasers","2010","2010","01","Filings","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","-","All buyers","Number","2020"
